epoch,acc,loss,val_acc,val_loss
0,0.121875,3.52269409895,0.2,3.12313873768
1,0.34765625,2.37535168082,0.271875,2.70668148994
2,0.50234375,1.77468507141,0.340625,2.35906258821
3,0.61796875,1.33573798761,0.3625,2.36194720268
4,0.67734375,1.02743817419,0.39375,2.18406080008
5,0.78984375,0.759658364579,0.36875,2.3386800468
6,0.85703125,0.502981160954,0.3875,2.65227896571
7,0.90078125,0.372531470563,0.40625,3.09282402992
8,0.9015625,0.349199116416,0.428125,2.58639783859
9,0.92265625,0.261638520751,0.45,2.57614070177
10,0.9578125,0.171995186433,0.421875,3.00751508474
11,0.94921875,0.172177677974,0.48125,2.92073138952
12,0.9359375,0.271478197025,0.390625,3.29288498163
13,0.93828125,0.255173837184,0.446875,2.99026077986
14,0.95546875,0.147367839934,0.425,3.45765753984
15,0.9765625,0.0894926320005,0.484375,2.89628428817
16,0.99296875,0.0411827676697,0.49375,3.07039480209
17,0.99296875,0.0407777072513,0.45625,3.35341984034
18,0.99375,0.0282221999805,0.453125,3.19189670682
19,1.0,0.0110553849387,0.475,3.33591054678
20,1.0,0.00448601490789,0.484375,3.31859752536
21,1.0,0.00304195264507,0.484375,3.34193283916
22,1.0,0.0024508878043,0.4875,3.33464856744
