epoch,acc,loss,val_acc,val_loss
0,0.0828125,3.67636784315,0.15625,3.21228992939
1,0.26953125,2.71798421144,0.259375,2.7743560791
2,0.41953125,2.04600911438,0.325,2.38921282291
3,0.46015625,1.83212551177,0.3875,2.34780912399
4,0.5484375,1.50002287626,0.4375,2.06941990852
5,0.646875,1.18742824048,0.409375,2.11259118319
6,0.73125,0.921547828615,0.446875,2.41801466942
7,0.76015625,0.822728767246,0.4125,2.20658906698
8,0.80703125,0.660026752949,0.478125,2.11953295469
9,0.8375,0.52121354416,0.471875,2.26576167345
10,0.87578125,0.416381143034,0.428125,2.39474343061
11,0.8921875,0.401719029993,0.434375,2.58995211124
12,0.90625,0.336894023418,0.4625,2.75991885662
13,0.92421875,0.263976160809,0.4625,2.6179551363
14,0.92109375,0.283371567726,0.421875,2.55722415447
