epoch,acc,loss,val_acc,val_loss
0,0.0328125,4.92405652702,0.025,3.91804784536
1,0.0875,3.65359705091,0.109375,3.54011904001
2,0.2234375,2.98275340497,0.2,3.0913475275
3,0.28515625,2.60666282177,0.278125,2.87144075632
4,0.3828125,2.20152457803,0.334375,2.51417322755
5,0.4765625,1.89323310703,0.303125,2.51193724871
6,0.521875,1.63987009227,0.334375,2.77374974489
7,0.59375,1.39390462488,0.3375,2.81359630823
8,0.63828125,1.22203015611,0.39375,2.46513803601
9,0.70390625,1.02359127179,0.396875,2.652655828
10,0.68828125,1.02255047597,0.371875,2.6562567234
11,0.7171875,0.925716359168,0.396875,2.89626416564
12,0.77734375,0.743861555308,0.396875,2.86304100454
13,0.79609375,0.612036495935,0.371875,3.25328223109
14,0.81953125,0.596457219822,0.41875,3.12393980026
15,0.83828125,0.56007025335,0.384375,3.87169873118
16,0.8203125,0.592334400211,0.4,3.25505129099
17,0.87109375,0.440205276292,0.384375,3.21611539125
18,0.871875,0.412502457621,0.428125,3.40146690607
19,0.90390625,0.325749893812,0.409375,3.81591106653
20,0.88671875,0.363635869371,0.4,4.40337502956
21,0.88671875,0.365785602201,0.4375,3.86378011703
22,0.9375,0.19777487294,0.45,3.7925454855
23,0.953125,0.173013606609,0.434375,3.69822875857
24,0.9421875,0.234366027324,0.446875,3.89592754841
25,0.9203125,0.261936826981,0.3875,4.31341025829
26,0.93828125,0.201881026803,0.428125,3.8969035387
27,0.9,0.308350604982,0.43125,4.29649134874
28,0.8671875,0.459580720728,0.396875,3.90241706371
